"Data","Da Estrazione","A Estrazione","GAP","BetType","Profit"
"04-12-2024, 16:40:27","5147899","5147999","100","vicini dello zero","-2726.0"
"04-12-2024, 16:40:27","5206899","5206999","100","vicini dello zero","-2802.0"
"04-12-2024, 16:40:27","5222499","5222599","100","vicini dello zero","-2968.0"
"04-12-2024, 16:40:27","5269599","5269699","100","vicini dello zero","-2936.0"
"04-12-2024, 16:40:27","5301999","5302099","100","vicini dello zero","-3084.0"
"04-12-2024, 16:40:27","5307599","5307699","100","vicini dello zero","-3160.0"
"04-12-2024, 16:40:27","5310099","5310199","100","vicini dello zero","-3326.0"
"04-12-2024, 16:40:27","5324899","5324999","100","vicini dello zero","-3276.0"
"04-12-2024, 16:40:27","5348499","5348599","100","vicini dello zero","-3334.0"
"04-12-2024, 16:40:27","5348999","5349099","100","vicini dello zero","-3338.0"
"04-12-2024, 16:40:27","5350199","5350299","100","vicini dello zero","-3396.0"
"04-12-2024, 16:40:27","5394499","5394599","100","vicini dello zero","-3418.0"
"04-12-2024, 16:40:27","5427099","5427199","100","vicini dello zero","-3566.0"
"04-12-2024, 16:40:27","5486799","5486899","100","vicini dello zero","-3804.0"
"04-12-2024, 16:40:27","5513999","5514099","100","vicini dello zero","-3736.0"
"04-12-2024, 16:40:27","5607199","5607299","100","vicini dello zero","-3704.0"
"04-12-2024, 16:40:27","5610899","5610999","100","vicini dello zero","-3726.0"
"04-12-2024, 16:40:27","5619199","5619299","100","vicini dello zero","-3766.0"
"04-12-2024, 16:40:27","5630099","5630199","100","vicini dello zero","-3914.0"
"04-12-2024, 16:40:27","5636199","5636299","100","vicini dello zero","-4098.0"
"04-12-2024, 16:40:27","5652799","5652899","100","vicini dello zero","-4066.0"
"04-12-2024, 16:40:27","5707599","5707699","100","vicini dello zero","-4160.0"
"04-12-2024, 16:40:27","5727699","5727799","100","vicini dello zero","-4128.0"
"04-12-2024, 16:40:27","5746899","5746999","100","vicini dello zero","-4240.0"
"04-12-2024, 16:40:27","5747399","5747499","100","vicini dello zero","-4280.0"
"04-12-2024, 16:40:27","5801999","5802099","100","vicini dello zero","-4356.0"
"04-12-2024, 16:40:27","5845899","5845999","100","vicini dello zero","-4450.0"
"04-12-2024, 16:40:27","5851499","5851599","100","vicini dello zero","-4454.0"
"04-12-2024, 16:40:27","5854799","5854899","100","vicini dello zero","-4494.0"
"04-12-2024, 16:40:27","5875299","5875399","100","vicini dello zero","-4426.0"
"04-12-2024, 16:40:27","5894099","5894199","100","vicini dello zero","-4484.0"
"04-12-2024, 16:40:27","5894399","5894499","100","vicini dello zero","-4560.0"
"04-12-2024, 16:40:27","5899899","5899999","100","vicini dello zero","-4654.0"
"04-12-2024, 16:40:27","5909699","5909799","100","vicini dello zero","-4766.0"
"04-12-2024, 16:40:27","5952599","5952699","100","vicini dello zero","-4662.0"
"04-12-2024, 16:40:27","5969199","5969299","100","vicini dello zero","-4702.0"
"04-12-2024, 16:40:27","5976199","5976299","100","vicini dello zero","-4778.0"
"04-12-2024, 16:40:27","6015199","6015299","100","vicini dello zero","-4818.0"
"04-12-2024, 16:40:27","6070199","6070299","100","vicini dello zero","-4876.0"
"04-12-2024, 16:40:27","6071399","6071499","100","vicini dello zero","-4790.0"
"04-12-2024, 16:40:27","6092999","6093099","100","vicini dello zero","-4614.0"
"04-12-2024, 16:40:27","6097799","6097899","100","vicini dello zero","-4546.0"
"04-12-2024, 16:40:27","6103299","6103399","100","vicini dello zero","-4604.0"
"04-12-2024, 16:40:27","6153099","6153199","100","vicini dello zero","-4500.0"
"04-12-2024, 16:40:27","6182399","6182499","100","vicini dello zero","-4468.0"
"04-12-2024, 16:40:27","6195399","6195499","100","vicini dello zero","-4544.0"
"04-12-2024, 16:40:27","6213899","6213999","100","vicini dello zero","-4548.0"
"04-12-2024, 16:40:27","6259699","6259799","100","vicini dello zero","-4642.0"
"04-12-2024, 16:40:27","6292399","6292499","100","vicini dello zero","-4574.0"
"04-12-2024, 16:40:27","6320399","6320499","100","vicini dello zero","-4668.0"
"04-12-2024, 16:40:27","6336199","6336299","100","vicini dello zero","-4600.0"
"04-12-2024, 16:40:27","6360799","6360899","100","vicini dello zero","-4622.0"
"04-12-2024, 16:40:27","6384899","6384999","100","vicini dello zero","-4572.0"
"04-12-2024, 16:40:27","6396899","6396999","100","vicini dello zero","-4648.0"
"04-12-2024, 16:40:27","6459899","6459999","100","vicini dello zero","-4688.0"
"04-12-2024, 16:40:27","6502199","6502299","100","vicini dello zero","-4728.0"
"04-12-2024, 16:40:27","6508499","6508599","100","vicini dello zero","-4876.0"
"04-12-2024, 16:40:27","6571999","6572099","100","vicini dello zero","-5060.0"
"04-12-2024, 16:40:27","6612599","6612699","100","vicini dello zero","-4902.0"
"04-12-2024, 16:40:27","6617699","6617799","100","vicini dello zero","-4816.0"
"04-12-2024, 16:40:27","6628299","6628399","100","vicini dello zero","-4910.0"
"04-12-2024, 16:40:27","6640499","6640599","100","vicini dello zero","-5022.0"
"04-12-2024, 16:40:27","6670399","6670499","100","vicini dello zero","-4972.0"
"04-12-2024, 16:40:27","6688799","6688899","100","vicini dello zero","-4976.0"
"04-12-2024, 16:40:27","6721899","6721999","100","vicini dello zero","-4944.0"
"04-12-2024, 16:40:27","6728699","6728799","100","vicini dello zero","-4930.0"
"04-12-2024, 16:40:27","6788199","6788299","100","vicini dello zero","-4952.0"
"04-12-2024, 16:40:27","6861299","6861399","100","vicini dello zero","-4776.0"
"04-12-2024, 16:40:27","6893199","6893299","100","vicini dello zero","-4690.0"
"04-12-2024, 16:40:27","6907899","6907999","100","vicini dello zero","-4784.0"
"04-12-2024, 16:40:27","6909499","6909599","100","vicini dello zero","-4770.0"
"04-12-2024, 16:40:27","6960599","6960699","100","vicini dello zero","-4828.0"
"04-12-2024, 16:40:27","6965899","6965999","100","vicini dello zero","-4886.0"
"04-12-2024, 16:40:27","7019899","7019999","100","vicini dello zero","-4998.0"
"04-12-2024, 16:40:27","7028599","7028699","100","vicini dello zero","-4948.0"
"04-12-2024, 16:40:27","7070099","7070199","100","vicini dello zero","-4952.0"
"04-12-2024, 16:40:27","7173299","7173399","100","vicini dello zero","-4920.0"
"04-12-2024, 16:40:27","7192499","7192599","100","vicini dello zero","-5014.0"
"04-12-2024, 16:40:27","7211199","7211299","100","vicini dello zero","-5126.0"
"04-12-2024, 16:40:27","7224599","7224699","100","vicini dello zero","-5148.0"
"04-12-2024, 16:40:27","7225499","7225599","100","vicini dello zero","-5116.0"
"04-12-2024, 16:40:27","7263199","7263299","100","vicini dello zero","-5138.0"
"04-12-2024, 16:40:27","7315899","7315999","100","vicini dello zero","-5160.0"
"04-12-2024, 16:40:27","7339299","7339399","100","vicini dello zero","-5182.0"
"04-12-2024, 16:40:27","7357399","7357499","100","vicini dello zero","-5168.0"
"04-12-2024, 16:40:27","7362799","7362899","100","vicini dello zero","-5208.0"
"04-12-2024, 16:40:27","7364199","7364299","100","vicini dello zero","-5320.0"
"04-12-2024, 16:40:27","7433299","7433399","100","vicini dello zero","-5450.0"
"04-12-2024, 16:40:27","7450799","7450899","100","vicini dello zero","-5346.0"
"04-12-2024, 16:40:27","7532699","7532799","100","vicini dello zero","-5188.0"
"04-12-2024, 16:40:27","7538199","7538299","100","vicini dello zero","-5012.0"
"04-12-2024, 16:40:27","7546899","7546999","100","vicini dello zero","-4944.0"
"04-12-2024, 16:40:27","7563199","7563299","100","vicini dello zero","-5092.0"
"04-12-2024, 16:40:27","7649099","7649199","100","vicini dello zero","-4988.0"
"04-12-2024, 16:40:27","7695599","7695699","100","vicini dello zero","-4902.0"
"04-12-2024, 16:40:27","7696399","7696499","100","vicini dello zero","-4906.0"
"04-12-2024, 16:40:27","7772999","7773099","100","vicini dello zero","-4730.0"
"04-12-2024, 16:40:27","7799799","7799899","100","vicini dello zero","-4770.0"
"04-12-2024, 16:40:27","7816299","7816399","100","vicini dello zero","-4828.0"
"04-12-2024, 16:40:27","7817099","7817199","100","vicini dello zero","-4940.0"
"04-12-2024, 16:40:27","7817299","7817399","100","vicini dello zero","-4890.0"
"04-12-2024, 16:40:27","7836299","7836399","100","vicini dello zero","-4786.0"
"04-12-2024, 16:40:27","7842299","7842399","100","vicini dello zero","-4898.0"
"04-12-2024, 16:40:27","7887699","7887799","100","vicini dello zero","-5082.0"
