Flop,Hand,Weight IP,Matchups,IP Equity,IP EV,IP EQR,BET 1101 freq,BET 1101 EV,BET 875 freq,BET 875 EV,BET 438 freq,BET 438 EV,CHECK freq,CHECK EV
Tc 8c 5d,AsAc,1,167238359,79.0144026,1714.12573,123.96479438,0.49078859373,1713.56079,55.053059016,1714.98621,36.551010753,1712.86633,7.9051416375,1713.97961
Tc 8c 5d,AsTd,0.0549999997,9299.35059,72.4985421,1300.85486,102.53249414,0,1293.3739,86.070582715,1300.95398,1.8269281815,1301.73022,12.102489104,1300.01184
Tc 8c 5d,AsJd,0.720000029,123485031,35.1273179,350.217743,56.971165616,0.1053980816,350.091125,69.290367003,350.634888,30.37349067,349.265778,0.23074424562,350.204926
Tc 8c 5d,AsQd,1,170061094,37.239936,326.268097,50.064240865,1.1590188923,325.365723,54.580537133,326.835876,38.037013776,325.477478,6.2234301991,326.286224
Tc 8c 5d,AsKd,1,171448078,38.3079678,336.467102,50.189797703,0.64408947782,335.986694,35.880736828,337.125366,32.888435052,335.920624,30.586738643,336.292023
Tc 8c 5d,AsAd,1,167071109,75.3792405,1504.33142,114.03908405,1.8746638068,1502.44116,66.905382829,1504.6792,20.695221371,1503.48633,10.524731993,1504.10889
Tc 8c 5d,AsTh,0.0549999997,9299.35059,72.2554445,1266.31006,100.14549818,0,1265.19653,86.79450049,1266.49451,9.2716773242,1264.7179,3.9338221861,1265.96558
Tc 8c 5d,AsJh,0.720000029,123485031,34.9617034,328.629242,53.712525427,0,327.097382,39.168199843,328.947327,13.618454038,328.317688,47.213346119,328.454926
Tc 8c 5d,AsQh,1,170061125,37.0631516,305.641846,47.122944458,0,304.443146,22.129993125,305.850433,2.2098216625,305.424774,75.660185213,305.587128
Tc 8c 5d,AsKh,1,171230469,38.1491393,326.0448,48.837619329,1.1553614888,324.972382,47.021921259,326.591553,13.359613089,325.697144,38.463104163,325.528961
Tc 8c 5d,AsAh,1,165783047,74.9492705,1505.97583,114.81867821,0.67907087542,1505.29919,69.917247754,1506.23474,22.748439603,1505203,6.6552417676,1505.95056
